title, Lat, Lon
 NALB, -28.6519, 117.6083
 NANN, -26.9000, 118.4000
 NARN, -28.9467, 118.1857
 NING, -29.4250, 117.2906
 NOON, -28.1233, 116.8294
 PEAK, -25.6381, 118.7131
 PIND, -28.0531, 116.6514
 PULL, -29.1886, 117.9222
 RPF , -29.5500, 118.5000
 DROM, -29.0167, 118.4500
 RPF , -26.8500, 118.7000
 RPF , -27.9500, 118.6000
 REED, -27.1500, 118.2500
 SHER, -26.5593, 118.5423
 SYLV, -23.5867, 120.0517
 THRE, -25.1256, 119.1514
 THUN, -28.8928, 117.1333
 TUCK, -27.1192, 118.0842
 TURE, -23.6239, 118.6561
 ULLA, -23.4800, 116.1108
 WANA, -27.8336, 117.8792
 WAND, -25.7000, 118.0000
 WIND, -28.0097, 118.5753
 WOOG, -27.8058, 116.5692
 WOOL, -27.0878, 116.1606
 WYDG, -28.8439, 117.8311
 YALG, -28.3386, 116.6825
 YAND, -26.3608, 119.8233
 YARL, -25.5786, 117.9933
 YINN, -24.6510, 116.1650
 YOWE, -28.2322, 117.6556
 YUIN, -27.9808, 116.0347
 WOND, -27.8608, 118.4183
 COON, -28.8000, 117.6000
 YARR, -27.1308, 118.7803
 MOUN, -25.6933, 118.0803
 MUNA, -26.2822, 118.6933
 MURR, -23.5000, 120.5000
 NEDS, -25.4800, 119.6492
 PING, -23.9958, 117.5225
 WOOD, -24.8083, 118.1105
 WURA, -28.4150, 116.2833
 NOON, -27.1178, 117.1175
 WIND, -28.3250, 118.5450
 PAYN, -29.2500, 117.6667
 LENN, -27.9500, 117.8667
 COBR, -24.2008, 116.4750
 BUNG, -26.0667, 118.6667
 ERRI, -25.3333, 117.2500
 WEAR, -28.4833, 116.5500
 WOOL, -28.0000, 118.0000
 RPF , -26.4000, 119.8000
 YARR, -26.1667, 116.2500
 ABBO, -26.4000, 118.4000
 ASHB, -23.3856, 117.0322
 BADG, -28.6000, 116.8000
 BALD, -24.7000, 119.7500
 BUNG, -29.4500, 118.4500
 COGL, -27.4375, 118.9292
 DALG, -25.2806, 116.2083
 FIEL, -29.0000, 117.3000
 GULL, -28.7000, 116.3000
 GULL, -28.6000, 116.3000
 GUM , -26.9000, 119.2500
 MELA, -27.8036, 116.8857
 MILL, -26.0747, 116.6942
 MIND, -26.9500, 117.5000
 MOUN, -25.0964, 117.5922
 MOUN, -24.9500, 117.7500
 MURC, -26.7950, 118.9842
 MURR, -28.2747, 117.3919
 LAKE, -27.2000, 118.0000
 NOOK, -26.3028, 116.8789
 NICH, -27.1000, 117.1000
 PAYN, -29.2708, 117.6836
 RPF , -27.6500, 117.6000
 ROTH, -29.3000, 116.9000
 CASH, -25.9697, 118.6233
 WAGG, -28.5000, 116.5000
 WARR, -29.0000, 117.0000
 WARR, -29.1000, 117.0000
 WOGA, -28.3831, 117.6817
 YARR, -27.5500, 118.0167
 YEDD, -26.2500, 116.6000
 MEEK, -26.5942, 118.4883
 MURR, -27.6467, 117.8592
 NEWM, -23.3683, 119.7314
 KUMA, -24.7500, 119.6056
 PRAI, -23.5531, 119.1478
 WYNY, -27.9369, 118.1889
 KARA, -26.1317, 118.6833
 TARD, -27.9578, 116.3383
 DALG, -27.7744, 117.0156
 INGL, -27.6167, 118.9333
 YARR, -27.5481, 118.2182
 PARO, -26.2628, 119.7639
 ERRA, -25.4628, 117.1364
 MOUN, -25.5986, 117.7325
 OLD , -25.6833, 118.1000
 EDMU, -23.7633, 116.1206
 MING, -24.9483, 118.7147
 JOHA, -28.3500, 116.5500
 RPF , -28.1500, 116.6167
